Karl-Anthony Towns,University of Kentucky,MIN,2015,18.3
D'Angelo Russell,Ohio State University,LAL,2015,13.2
Jahlil Okafor,Duke University,PHI,2015,17.5
Kristaps Porzingis,,NYK,2015,14.3
Mario Hezonja,,ORL,2015,6.1
Willie Cauley-Stein,University of Kentucky,SAC,2015,7
Emmanuel Mudiay,,DEN,2015,12.8
Stanley Johnson,University of Arizona,DET,2015,8.1
Frank Kaminsky,University of Wisconsin,CHO,2015,7.5
Justise Winslow,Duke University,MIA,2015,6.4
Andrew Wiggins,University of Kansas,CLE,2014,18.8
Jabari Parker,Duke University,MIL,2014,13.6
Joel Embiid,University of Kansas,PHI,2014,0
Aaron Gordon,University of Arizona,ORL,2014,7.7
Dante Exum,,UTA,2014,4.8
Marcus Smart,Oklahoma State University,BOS,2014,8.4
Julius Randle,University of Kentucky,LAL,2014,11.2
Nik Stauskas,University of Michigan,SAC,2014,6.4
Noah Vonleh,Indiana University,CHH,2014,3.6
Elfrid Payton,University of Louisiana at Lafayette,PHI,2014,9.7
Anthony Bennett,University of Nevada Las Vegas,CLE,2013,4.2
Victor Oladipo,Indiana University,ORL,2013,15.9
Otto Porter,Georgetown University,WAS,2013,7.5
Cody Zeller,Indiana University,CHA,2013,7.4
Alex Len,University of Maryland,PHO,2013,6.5
Nerlens Noel,University of Kentucky,NOH,2013,10.5
Ben McLemore,University of Kansas,SAC,2013,9.7
Kentavious Caldwell-Pope,University of Georgia,DET,2013,11
Trey Burke,University of Michigan,MIN,2013,12.1
C.J. McCollum,Lehigh University,POR,2013,12.7
Anthony Davis,University of Kentucky,NOH,2012,20.8
Michael Kidd-Gilchrist,University of Kentucky,CHA,2012,9.1
Bradley Beal,University of Florida,WAS,2012,16
Dion Waiters,Syracuse University,CLE,2012,12.8
Thomas Robinson,University of Kansas,SAC,2012,4.9
Damian Lillard,Weber State University,POR,2012,21.4
Harrison Barnes,University of North Carolina,GSW,2012,10.1
Terrence Ross,University of Washington,TOR,2012,9.3
Andre Drummond,University of Connecticut,DET,2012,13.2
Austin Rivers,Duke University,NOH,2012,7.4
Kyrie Irving,Duke University,CLE,2011,20.8
Derrick Williams,University of Arizona,MIN,2011,9.3
Enes Kanter,,UTA,2011,10.7
Tristan Thompson,University of Texas at Austin,CLE,2011,9.7
Jonas Valanciunas,,TOR,2011,11.3
Jan Vesely,,WAS,2011,3.6
Bismack Biyombo,,SAC,2011,4.6
Brandon Knight,University of Kentucky,DET,2011,15.9
Kemba Walker,University of Connecticut,CHA,2011,17.3
Jimmer Fredette,Brigham Young University,MIL,2011,6
John Wall,University of Kentucky,WAS,2010,18
Evan Turner,Ohio State University,PHI,2010,10.7
Derrick Favors,Georgia Institute of Technology,NJN,2010,11.7
Wesley Johnson,Syracuse University,MIN,2010,8.2
DeMarcus Cousins,University of Kentucky,SAC,2010,20.2
Ekpe Udoh,Baylor University,GSW,2010,4
Greg Monroe,Georgetown University,DET,2010,14.5
Al-Farouq Aminu,Wake Forest University,LAC,2010,7
Gordon Hayward,Butler University,UTA,2010,14.6
Paul George,California State University Fresno,IND,2010,16.9
Blake Griffin,University of Oklahoma,LAC,2009,21.5
Hasheem Thabeet,University of Connecticut,MEM,2009,2.2
James Harden,Arizona State University,OKC,2009,21.1
Tyreke Evans,University of Memphis,SAC,2009,16.7
Ricky Rubio,,MIN,2009,10.1
Stephen Curry,Davidson College,GSW,2009,22.4
Jordan Hill,University of Arizona,NYK,2009,8
DeMar DeRozan,University of Southern California,TOR,2009,18.1
Brandon Jennings,,MIL,2009,15.5
Derrick Rose,University of Memphis,CHI,2008,19.7
Michael Beasley,Kansas State University,MIA,2008,13
O.J. Mayo,University of Southern California,MIN,2008,13.8
Russell Westbrook,University of California Los Angeles,SEA,2008,21.5
Kevin Love,University of California Los Angeles,MEM,2008,18.3
Danilo Gallinari,,NYK,2008,14.9
Eric Gordon,Indiana University,LAC,2008,16.6
D.J. Augustin,University of Texas at Austin,CHA,2008,9.8
Brook Lopez,Stanford University,NJN,2008,18.3
Greg Oden,Ohio State University,POR,2007,8
Kevin Durant,University of Texas at Austin,SEA,2007,27.4
Al Horford,University of Florida,ATL,2007,14.3
Mike Conley,Ohio State University,MEM,2007,13.6
Jeff Green,Georgetown University,BOS,2007,14
Corey Brewer,University of Florida,MIN,2007,9.8
Brandan Wright,University of North Carolina,CHA,2007,7.1
Joakim Noah,University of Florida,CHI,2007,9.3
Spencer Hawes,University of Washington,SAC,2007,8.9
Andrea Bargnani,,TOR,2006,14.3
LaMarcus Aldridge,University of Texas at Austin,CHI,2006,19.2
Tyrus Thomas,Louisiana State University,POR,2006,7.7
Randy Foye,Villanova University,BOS,2006,10.8
Rudy Gay,University of Connecticut,HOU,2006,18.4
Patrick O'Bryant,Bradley University,GSW,2006,2.1
Andrew Bogut,University of Utah,MIL,2005,10.3
Marvin Williams,University of North Carolina,ATL,2005,10.5
Deron Williams,University of Illinois at Urbana-Champaign,UTA,2005,16.8
Chris Paul,Wake Forest University,NOH,2005,18.8
Raymond Felton,University of North Carolina,CHA,2005,12.4
Martell Webster,,POR,2005,8.7
Charlie Villanueva,University of Connecticut,TOR,2005,10.4
Channing Frye,University of Arizona,NYK,2005,9.2
Ike Diogu,Arizona State University,GSW,2005,6
Dwight Howard,,ORL,2004,17.8
Shaun Livingston,,LAC,2004,6.7
Devin Harris,University of Wisconsin,WAS,2004,11.7
Josh Childress,Stanford University,ATL,2004,9.1
Luol Deng,Duke University,PHO,2004,15.5
Andre Iguodala,University of Arizona,PHI,2004,13.5
LeBron James,,CLE,2003,27.2
Carmelo Anthony,Syracuse University,DEN,2003,24.9
Chris Bosh,Georgia Institute of Technology,TOR,2003,19.2
Dwyane Wade,Marquette University,MIA,2003,23.7
Chris Kaman,Central Michigan University,LAC,2003,11.2
Kirk Hinrich,University of Kansas,CHI,2003,10.9
Mike Dunleavy,Duke University,GSW,2002,11.5
Drew Gooden,University of Kansas,MEM,2002,11
Nikoloz Tskitishvili,,DEN,2002,2.9
Nene Hilario,,NYK,2002,12.2
Amar'e Stoudemire,,PHO,2002,18.9
Caron Butler,University of Connecticut,MIA,2002,14.1
Tyson Chandler,,LAC,2001,8.7
Pau Gasol,,ATL,2001,18.2
Joe Johnson,University of Arkansas,BOS,2001,16.9
Mike Miller,University of Florida,ORL,2000,10.8
Jamal Crawford,University of Michigan,CLE,2000,15.5
Elton Brand,Duke University,CHI,1999,15.9
Andre Miller,University of Utah,CLE,1999,12.5
Jason Terry,University of Arizona,ATL,1999,14.3
Vince Carter,University of North Carolina,GSW,1998,18.8
Dirk Nowitzki,,MIL,1998,22
Paul Pierce,University of Kansas,BOS,1998,20
Tim Duncan,Wake Forest University,SAS,1997,19
Joe Smith,University of Maryland,GSW,1995,10.9
Antonio McDyess,University of Alabama,LAC,1995,12
Jerry Stackhouse,University of North Carolina,PHI,1995,16.9
Rasheed Wallace,University of North Carolina,WSB,1995,14.4
Kevin Garnett,,MIN,1995,17.8
Bryant Reeves,Oklahoma State University,VAN,1995,12.5
Damon Stoudamire,University of Arizona,TOR,1995,13.4
Shawn Respert,Michigan State University,POR,1995,4.9
Ed O'Bannon,University of California Los Angeles,NJN,1995,5
Kurt Thomas,Texas Christian University,MIA,1995,8.1
Glenn Robinson,Purdue University,MIL,1994,20.7
Jason Kidd,University of California,DAL,1994,12.6
Grant Hill,Duke University,DET,1994,16.7
Donyell Marshall,University of Connecticut,MIN,1994,11.2
Juwan Howard,University of Michigan,WSB,1994,13.4
Sharone Wright,Clemson University,PHI,1994,9.7
Lamond Murray,University of California,LAC,1994,11.3
Brian Grant,Xavier University,SAC,1994,10.5
Eric Montross,University of North Carolina,BOS,1994,4.5
Eddie Jones,Temple University,LAL,1994,14.8
Chris Webber,University of Michigan,ORL,1993,20.7
Shawn Bradley,Brigham Young University,PHI,1993,8.1
Anfernee Hardaway,University of Memphis,GSW,1993,15.2
Jamal Mashburn,University of Kentucky,DAL,1993,19.1
Isaiah Rider,University of Nevada Las Vegas,MIN,1993,16.7
Calbert Cheaney,Indiana University,WSB,1993,9.5
Bobby Hurley,Duke University,SAC,1993,3.8
Vin Baker,University of Hartford,MIL,1993,15
Rodney Rogers,Wake Forest University,DEN,1993,10.9
Lindsey Hunter,Jackson State University,DET,1993,8.5
Shaquille O'Neal,Louisiana State University,ORL,1992,23.7
Alonzo Mourning,Georgetown University,CHH,1992,17.1
Christian Laettner,Duke University,MIN,1992,12.8
Jim Jackson,Ohio State University,DAL,1992,14.3
LaPhonso Ellis,University of Notre Dame,DEN,1992,11.9
Tom Gugliotta,North Carolina State University,WSB,1992,13
Walt Williams,University of Maryland,SAC,1992,11.8
Todd Day,University of Arkansas,MIL,1992,12.3
Clarence Weatherspoon,University of Southern Mississippi,PHI,1992,11.5
Adam Keefe,Stanford University,ATL,1992,5
Larry Johnson,University of Nevada Las Vegas,CHH,1991,16.2
Kenny Anderson,Georgia Institute of Technology,NJN,1991,12.6
Billy Owens,Syracuse University,SAC,1991,11.7
Dikembe Mutombo,Georgetown University,DEN,1991,9.8
Steve Smith,Michigan State University,MIA,1991,14.3
Doug Smith,University of Missouri,DAL,1991,8
Luc Longley,University of New Mexico,MIN,1991,7.2
Mark Macon,Temple University,DEN,1991,6.7
Stacey Augmon,University of Nevada Las Vegas,ATL,1991,8
Bison Dele,University of Arizona,ORL,1991,11
Derrick Coleman,Syracuse University,NJN,1990,16.5
Gary Payton,Oregon State University,SEA,1990,16.3
Mahmoud Abdul-Rauf,Louisiana State University,DEN,1990,14.6
Dennis Scott,Georgia Institute of Technology,ORL,1990,12.9
Kendall Gill,University of Illinois at Urbana-Champaign,CHH,1990,13.4
Felton Spencer,University of Louisville,MIN,1990,5.2
Lionel Simmons,La Salle University,SAC,1990,12.8
Bo Kimble,Loyola Marymount University,LAC,1990,5.5
Willie Burton,University of Minnesota,MIA,1990,10.3
Rumeal Robinson,University of Michigan,ATL,1990,7.6
Pervis Ellison,University of Louisville,SAC,1989,9.5
Danny Ferry,Duke University,LAC,1989,7
Sean Elliott,University of Arizona,SAS,1989,14.2
Glen Rice,University of Michigan,MIA,1989,18.3
J.R. Reid,University of North Carolina,CHH,1989,8.5
Stacey King,University of Oklahoma,CHI,1989,6.4
George McCloud,Florida State University,IND,1989,9
Randy White,Louisiana Tech University,DAL,1989,7.4
Tom Hammonds,Georgia Institute of Technology,WSB,1989,5.3
Pooh Richardson,University of California Los Angeles,MIN,1989,11.1
Danny Manning,University of Kansas,LAC,1988,14
Rik Smits,Marist College,IND,1988,14.8
Charles Smith,University of Pittsburgh,PHI,1988,14.4
Chris Morris,Auburn University,NJN,1988,11
Mitch Richmond,Kansas State University,GSW,1988,21
Hersey Hawkins,Bradley University,LAC,1988,14.7
Tim Perry,Temple University,PHO,1988,6.8
Rex Chapman,University of Kentucky,CHH,1988,14.6
Rony Seikaly,Syracuse University,MIA,1988,14.7
Willie Anderson,University of Georgia,SAS,1988,12.2
David Robinson,United States Naval Academy,SAS,1987,21.1
Armen Gilliam,University of Nevada Las Vegas,PHO,1987,13.7
Dennis Hopson,Ohio State University,NJN,1987,10.9
Reggie Williams,Georgetown University,LAC,1987,12.5
Scottie Pippen,University of Central Arkansas,SEA,1987,16.1
Kenny Smith,University of North Carolina,SAC,1987,12.8
Kevin Johnson,University of California,CLE,1987,17.9
Olden Polynice,University of Virginia,CHI,1987,7.8
Derrick McKey,University of Alabama,SEA,1987,11
Horace Grant,Clemson University,CHI,1987,11.2
Brad Daugherty,University of North Carolina,CLE,1986,19
Chris Washburn,North Carolina State University,GSW,1986,3.1
Chuck Person,Auburn University,IND,1986,14.7
Kenny Walker,University of Kentucky,NYK,1986,7
William Bedford,University of Memphis,PHO,1986,4.1
Roy Tarpley,University of Michigan,DAL,1986,12.6
Ron Harper,Miami University,CLE,1986,13.8
Brad Sellers,Ohio State University,CHI,1986,6.3
Johnny Dawkins,Duke University,SAS,1986,11.1
Patrick Ewing,Georgetown University,NYK,1985,21
Wayman Tisdale,University of Oklahoma,IND,1985,15.3
Benoit Benjamin,Creighton University,LAC,1985,11.4
Xavier McDaniel,Wichita State University,SEA,1985,15.6
Jon Koncak,Southern Methodist University,ATL,1985,4.5
Joe Kleine,University of Arkansas,SAC,1985,4.8
Chris Mullin,St. John's University,GSW,1985,18.2
Detlef Schrempf,University of Washington,DAL,1985,13.9
Charles Oakley,Virginia Union University,CLE,1985,9.7
Ed Pinckney,Villanova University,PHO,1985,6.8
Hakeem Olajuwon,University of Houston,HOU,1984,21.8
Sam Bowie,University of Kentucky,POR,1984,10.9
Michael Jordan,University of North Carolina,CHI,1984,30.1
Sam Perkins,University of North Carolina,DAL,1984,11.9
Charles Barkley,Auburn University,PHI,1984,22.1
Melvin Turpin,University of Kentucky,WSB,1984,8.5
Alvin Robertson,University of Arkansas,SAS,1984,14
Lancaster Gordon,University of Louisville,LAC,1984,5.6
Otis Thorpe,Providence College,KCK,1984,14
Leon Wood,California State University Fullerton,PHI,1984,6.4
Ralph Sampson,University of Virginia,HOU,1983,15.4
Steve Stipanovich,University of Missouri,IND,1983,13.2
Rodney McCray,University of Louisville,HOU,1983,11.7
Byron Scott,Arizona State University,SDC,1983,14.1
Sidney Green,University of Nevada Las Vegas,CHI,1983,7.5
Russell Cross,Purdue University,GSW,1983,3.7
Thurl Bailey,North Carolina State University,UTA,1983,12.8
Antoine Carr,Wichita State University,DET,1983,9.3
Dale Ellis,University of Tennessee,DAL,1983,15.7
Jeff Malone,Mississippi State University,WSB,1983,19
James Worthy,University of North Carolina,LAL,1982,17.6
Terry Cummings,DePaul University,SDC,1982,16.4
Dominique Wilkins,University of Georgia,UTA,1982,24.8
Bill Garnett,University of Wyoming,DAL,1982,5.5
LaSalle Thompson,University of Texas at Austin,KCK,1982,7.9
Trent Tucker,University of Minnesota,NYK,1982,8.2
Quintin Dailey,University of San Francisco,CHI,1982,14.1
Clark Kellogg,Ohio State University,IND,1982,18.9
Cliff Levingston,Wichita State University,DET,1982,7.1
Keith Edmonson,Purdue University,ATL,1982,6
Mark Aguirre,DePaul University,DAL,1981,20
Isiah Thomas,Indiana University,DET,1981,19.2
Buck Williams,University of Maryland,NJN,1981,12.8
Al Wood,University of North Carolina,ATL,1981,11.8
Danny Vranes,University of Utah,SEA,1981,5.1
Orlando Woolridge,University of Notre Dame,CHI,1981,16
Steve Johnson,Oregon State University,KCK,1981,11.7
Tom Chambers,University of Utah,SDC,1981,18.1
Rolando Blackman,Kansas State University,DAL,1981,18
Albert King,University of Maryland,NJN,1981,12.1
Joe Barry Carroll,Purdue University,GSW,1980,17.7
Darrell Griffith,University of Louisville,UTA,1980,16.2
Kevin McHale,University of Minnesota,BOS,1980,17.9
Kelvin Ransey,Ohio State University,CHI,1980,11.4
James Ray,Jacksonville University,DEN,1980,3.2
Mike O'Koren,University of North Carolina,NJN,1980,8.2
Mike Gminski,Duke University,NJN,1980,11.7
Andrew Toney,University of Louisiana at Lafayette,PHI,1980,15.9
Michael Brooks,La Salle University,SDC,1980,12.8
Ronnie Lester,University of Iowa,POR,1980,7.3
Magic Johnson,Michigan State University,LAL,1979,19.5
Dave Greenwood,University of California Los Angeles,CHI,1979,10.2
Bill Cartwright,University of San Francisco,NYK,1979,13.2
Greg Kelser,Michigan State University,DET,1979,9.7
Sidney Moncrief,University of Arkansas,MIL,1979,15.6
James Bailey,Rutgers University,SEA,1979,8.8
Vinnie Johnson,Baylor University,SEA,1979,12
Calvin Natt,University of Louisiana at Monroe,NJN,1979,17.2
Larry Demic,University of Arizona,NYK,1979,4.7
Roy Hamilton,University of California Los Angeles,DET,1979,4.6
Mychal Thompson,University of Minnesota,POR,1978,13.7
Phil Ford,University of North Carolina,KCK,1978,11.6
Rick Robey,University of Kentucky,IND,1978,7.6
Micheal Ray Richardson,University of Montana,NYK,1978,14.8
Purvis Short,Jackson State University,GSW,1978,17.3
Larry Bird,Indiana State University,BOS,1978,24.3
Ron Brewer,University of Arkansas,POR,1978,11.9
Freeman Williams,Portland State University,BOS,1978,14.7
Reggie Theus,University of Nevada Las Vegas,CHI,1978,18.5
Butch Lee,Marquette University,ATL,1978,8.1
Kent Benson,Indiana University,MIL,1977,9.1
Otis Birdsong,University of Houston,KCK,1977,18
Marques Johnson,University of California Los Angeles,MIL,1977,20.1
Greg Ballard,University of Oregon,WSB,1977,12.4
Walter Davis,University of North Carolina,PHO,1977,18.9
Kenny Carr,North Carolina State University,LAL,1977,11.6
Bernard King,University of Tennessee,NJN,1977,22.5
Jack Sikma,Illinois Wesleyan University,SEA,1977,15.6
Tom LaGarde,University of North Carolina,DEN,1977,7.6
Ray Williams,University of Minnesota,NYK,1977,15.5
John Lucas,University of Maryland,HOU,1976,10.7
Scott May,Indiana University,CHI,1976,10.4
Richard Washington,University of California Los Angeles,KCK,1976,9.8
Leon Douglas,University of Alabama,DET,1976,7.9
Wally Walker,University of Virginia,POR,1976,7
Adrian Dantley,University of Notre Dame,BUF,1976,24.3
Quinn Buckner,Indiana University,MIL,1976,8.2
Robert Parish,Centenary College of Louisiana,GSW,1976,14.5
Armond Hill,Princeton University,ATL,1976,6.9
Ron Lee,University of Oregon,PHO,1976,7.3
David Thompson,North Carolina State University,ATL,1975,22.1
Dave Meyers,University of California Los Angeles,LAL,1975,11.2
Marvin Webster,Morgan State University,ATL,1975,7.1
Alvan Adams,University of Oklahoma,PHO,1975,14.1
Darryl Dawkins,,PHI,1975,12
Lionel Hollins,Arizona State University,POR,1975,11.6
Rich Kelley,Stanford University,NOJ,1975,7.6
Junior Bridgeman,University of Louisville,LAL,1975,13.6
Gene Short,Jackson State University,NYK,1975,2.5
Bill Robinzine,DePaul University,KCK,1975,10.5
