Jeff Teague,PG,27,ATL,79
Walter Tavares,C,23,ATL,11
Tiago Splitter,C,31,ATL,36
Thabo Sefolosha,SF,31,ATL,75
Mike Scott,PF,27,ATL,75
Dennis Schroder,PG,22,ATL,80
Lamar Patterson,SG,24,ATL,35
Mike Muscala,C,24,ATL,60
Paul Millsap,PF,30,ATL,81
Kyle Korver,SG,34,ATL,80
Al Horford,C,29,ATL,82
Tim Hardaway,SG,23,ATL,51
Kent Bazemore,SF,26,ATL,75
Tyler Zeller,C,26,BOS,60
James Young,SG,20,BOS,29
Evan Turner,SG,27,BOS,81
Isaiah Thomas,PG,26,BOS,82
Jared Sullinger,PF,23,BOS,81
Marcus Smart,PG,21,BOS,61
Terry Rozier,PG,21,BOS,39
Kelly Olynyk,C,24,BOS,69
Jordan Mickey,PF,21,BOS,16
Amir Johnson,PF,28,BOS,79
Jonas Jerebko,PF,28,BOS,78
R.J. Hunter,SG,22,BOS,36
Jae Crowder,SF,25,BOS,73
Coty Clarke,SF,23,BOS,3
Avery Bradley,SG,25,BOS,76
Thaddeus Young,PF,27,BRK,73
Donald Sloan,PG,28,BRK,61
Henry Sims,C,25,BRK,14
Thomas Robinson,PF,24,BRK,71
Willie Reed,PF,25,BRK,39
Chris McCullough,PF,20,BRK,24
Brook Lopez,C,27,BRK,73
Shane Larkin,PG,23,BRK,78
Sergey Karasev,SF,22,BRK,40
Jarrett Jack,PG,32,BRK,32
Rondae Hollis-Jefferson,SF,21,BRK,29
Wayne Ellington,SG,28,BRK,76
Markel Brown,SG,24,BRK,62
Bojan Bogdanovic,SF,26,BRK,79
Andrea Bargnani,C,30,BRK,46
Tony Snell,SF,24,CHI,64
Derrick Rose,PG,27,CHI,66
Bobby Portis,PF,20,CHI,62
Joakim Noah,C,30,CHI,29
E'Twaun Moore,SG,26,CHI,59
Nikola Mirotic,PF,24,CHI,66
Doug McDermott,SF,24,CHI,81
Taj Gibson,PF,30,CHI,73
Pau Gasol,C,35,CHI,72
Cristiano Felicio,C,23,CHI,31
Mike Dunleavy,SF,35,CHI,31
Jimmy Butler,SG,26,CHI,67
Aaron Brooks,PG,31,CHI,69
Cameron Bairstow,C,25,CHI,18
Cody Zeller,C,23,CHO,73
Marvin Williams,PF,29,CHO,81
Kemba Walker,PG,25,CHO,81
Jeremy Lin,SG,27,CHO,78
Jeremy Lamb,SG,23,CHO,66
Michael Kidd-Gilchrist,SF,22,CHO,7
Frank Kaminsky,C,22,CHO,81
Al Jefferson,C,31,CHO,47
Spencer Hawes,PF,27,CHO,57
Aaron Harrison,SG,21,CHO,21
Tyler Hansbrough,PF,30,CHO,44
Jorge Gutierrez,PG,27,CHO,12
Troy Daniels,SG,24,CHO,43
Nicolas Batum,SF,27,CHO,70
Mo Williams,PG,33,CLE,41
Tristan Thompson,PF,24,CLE,82
J.R. Smith,SG,30,CLE,77
Iman Shumpert,SG,25,CLE,54
Timofey Mozgov,C,29,CLE,76
Kevin Love,PF,27,CLE,77
Sasha Kaun,C,30,CLE,24
James Jones,SF,35,CLE,48
Dahntay Jones,SF,35,CLE,1
Richard Jefferson,SF,35,CLE,74
LeBron James,SF,31,CLE,76
Kyrie Irving,PG,23,CLE,53
Joe Harris,SG,24,CLE,5
Matthew Dellavedova,PG,25,CLE,76
Deron Williams,PG,31,DAL,65
Charlie Villanueva,PF,31,DAL,62
Dwight Powell,PF,24,DAL,69
Chandler Parsons,SF,27,DAL,61
Zaza Pachulia,C,31,DAL,76
Dirk Nowitzki,PF,37,DAL,75
Salah Mejri,C,29,DAL,34
JaVale McGee,C,28,DAL,34
Wesley Matthews,SG,29,DAL,78
Devin Harris,PG,32,DAL,64
Raymond Felton,PG,31,DAL,80
Jeremy Evans,SF,28,DAL,30
J.J. Barea,PG,31,DAL,74
Justin Anderson,SF,22,DAL,55
Axel Toupane,SF,23,DEN,21
Kostas Papanikolaou,SF,25,DEN,26
Jusuf Nurkic,C,21,DEN,32
Jameer Nelson,PG,33,DEN,39
Emmanuel Mudiay,PG,19,DEN,68
Mike Miller,SF,35,DEN,46
Joffrey Lauvergne,C,24,DEN,59
Nikola Jokic,C,20,DEN,80
Gary Harris,SG,21,DEN,76
Danilo Gallinari,SF,27,DEN,53
Kenneth Faried,PF,26,DEN,67
Will Barton,SG,25,DEN,82
Darrell Arthur,PF,27,DEN,70
Anthony Tolliver,PF,30,DET,72
Marcus Morris,SF,26,DET,80
Jodie Meeks,SG,28,DET,3
Stanley Johnson,SF,19,DET,73
Reggie Jackson,PG,25,DET,79
Darrun Hilliard,SG,22,DET,38
Justin Harper,PF,26,DET,5
Andre Drummond,C,22,DET,81
Spencer Dinwiddie,PG,22,DET,12
Kentavious Caldwell-Pope,SG,22,DET,76
Reggie Bullock,SF,24,DET,37
Steve Blake,PG,35,DET,58
Aron Baynes,C,29,DET,81
Joel Anthony,C,33,DET,19
Klay Thompson,SG,25,GSW,80
Marreese Speights,C,28,GSW,72
Brandon Rush,SG,30,GSW,72
James Michael McAdoo,PF,23,GSW,41
Kevon Looney,PF,19,GSW,5
Shaun Livingston,PG,30,GSW,78
Andre Iguodala,SF,32,GSW,65
Draymond Green,PF,25,GSW,81
Festus Ezeli,C,26,GSW,46
Stephen Curry,PG,27,GSW,79
Ian Clark,SG,24,GSW,66
Andrew Bogut,C,31,GSW,70
Harrison Barnes,SF,23,GSW,66
Leandro Barbosa,SG,33,GSW,68
Jason Terry,SG,38,HOU,72
Donatas Motiejunas,PF,25,HOU,37
K.J. McDaniels,SF,22,HOU,37
Terrence Jones,PF,24,HOU,50
Dwight Howard,C,30,HOU,71
Chuck Hayes,C,32,HOU,2
Montrezl Harrell,PF,22,HOU,39
James Harden,SG,26,HOU,82
Andrew Goudelock,PG,27,HOU,8
Sam Dekker,SF,21,HOU,3
Clint Capela,C,21,HOU,77
Corey Brewer,SF,29,HOU,82
Patrick Beverley,PG,27,HOU,71
Michael Beasley,SF,27,HOU,20
Trevor Ariza,SF,30,HOU,81
Joseph Young,PG,23,IND,41
Shayne Whittington,PF,24,IND,7
Myles Turner,C,19,IND,60
Rodney Stuckey,PG,29,IND,58
Glenn Robinson III,SF,22,IND,45
C.J. Miles,SF,28,IND,64
Ian Mahinmi,C,29,IND,71
Solomon Hill,SF,24,IND,59
Jordan Hill,C,28,IND,73
George Hill,PG,29,IND,74
Paul George,SF,25,IND,81
Monta Ellis,SG,30,IND,81
Rakeem Christmas,PF,24,IND,1
Lavoy Allen,PF,26,IND,79
C.J. Wilcox,SG,25,LAC,23
Austin Rivers,SG,23,LAC,67
J.J. Redick,SG,31,LAC,75
Pablo Prigioni,PG,38,LAC,59
Paul Pierce,SF,38,LAC,68
Chris Paul,PG,30,LAC,74
Luc Mbah a Moute,PF,29,LAC,75
DeAndre Jordan,C,27,LAC,77
Wesley Johnson,SF,28,LAC,80
Blake Griffin,PF,26,LAC,35
Branden Dawson,PF,22,LAC,6
Jamal Crawford,SG,35,LAC,79
Jeff Ayres,C,28,LAC,17
Cole Aldrich,C,27,LAC,60
Nick Young,SG,30,LAL,54
Metta World Peace,SF,36,LAL,35
Lou Williams,SG,29,LAL,67
