Jeff Teague,434,988,110,275,261,312,214,470,97,24,218,1239,2016,5.9,17.9,167
Walter Tavares,11,19,0,0,3,8,21,3,1,6,5,25,2016,0.2,14.4,8
Tiago Splitter,81,155,0,2,39,48,120,30,20,12,24,201,2016,1.7,13.7,71
Thabo Sefolosha,188,372,42,124,62,99,334,107,85,37,68,480,2016,4.5,12.4,109
Mike Scott,176,376,62,158,50,63,206,78,25,17,42,464,2016,3.2,14,102
Dennis Schroder,329,781,77,239,144,182,204,349,70,9,183,879,2016,2.2,15.5,138
Lamar Patterson,28,80,12,49,16,22,50,39,9,2,23,84,2016,0.2,5.1,45
Mike Muscala,76,152,12,39,31,39,117,34,13,27,27,195,2016,1.6,13.7,71
Paul Millsap,501,1066,74,232,309,408,732,265,147,139,191,1385,2016,10.1,21.3,237
Kyle Korver,268,616,158,397,45,54,260,164,60,35,98,739,2016,4.1,9.7,161
Al Horford,529,1048,88,256,103,129,596,263,68,122,107,1249,2016,9.4,19.4,163
Tim Hardaway,114,265,48,142,50,56,86,51,21,7,23,326,2016,1.9,11.7,48
Kent Bazemore,320,725,109,305,123,151,379,171,98,38,138,872,2016,4.1,13.4,176
Tyler Zeller,138,290,0,0,88,108,178,29,10,22,46,364,2016,1.7,15.4,97
James Young,11,36,6,26,1,4,26,9,6,1,5,29,2016,0.1,3.6,17
Evan Turner,343,753,20,83,148,179,397,359,80,28,169,854,2016,4,13.6,139
Isaiah Thomas,591,1382,167,465,474,544,243,509,91,9,220,1823,2016,9.7,21.5,167
Jared Sullinger,351,806,29,103,103,161,673,187,75,47,102,834,2016,4.8,16.7,209
Marcus Smart,184,529,61,241,129,166,255,185,91,18,80,558,2016,2.9,11.3,183
Terry Rozier,29,106,6,27,8,10,63,37,6,1,19,72,2016,-0.3,5,23
Kelly Olynyk,253,556,85,210,96,128,281,105,52,33,74,687,2016,4.1,16.3,163
Jordan Mickey,8,22,0,0,5,10,13,1,0,11,1,21,2016,0.1,15.3,5
